strategy,number_of_initial_hands,number_of_rounds,aborted_rounds,total_original_wagers,total_rescue_wagers,total_double_wagers,total_split_wagers,total_money_wagered,player_net_result,casino_net_result,return_to_player,house_edge_vs_original_initial_wagers,house_edge_vs_total_action,average_casino_win_per_initial_hand,standard_deviation_per_initial_hand,standard_error,confidence_interval_95,blackjack_frequency,dealer_blackjack_frequency,player_bust_frequency_before_rescue,rescue_opportunities,rescue_attempts,rescue_acceptance_rate,immediate_rescue_success_rate,immediate_rescue_rebust_rate,rescued_hand_final_win_rate,rescued_hand_final_loss_rate,rescued_hand_final_push_rate,average_incremental_ev_per_rescue_decision,additional_casino_revenue_attributable_to_rescue_vs_never,estimated_rescue_decisions_per_100_hands,estimated_extra_dealer_actions_per_100_hands
busted_total_22_to_22,100000,100000,0,100000.0,2328.0,11062.0,2756.0,116146.0,-234.5,234.5,0.9979809894443201,0.002345,0.00201901055567992,0.002345,1.172825970117722,0.003708801364568579,"[-0.009614250674554396, 0.004924250674554435]",0.04646,0.04744,0.16695,16191,4656,0.28756716694459883,0.6103951890034365,0.3896048109965636,0.2802835051546392,0.6432560137457045,0.07646048109965636,0.13702749140893497,-505.0,16.191,1.9859999999999989
busted_total_22_to_23,100000,100000,0,100000.0,4130.0,11085.0,2794.0,118009.0,338.0,-338.0,1.0028641883246192,-0.00338,-0.0028641883246193086,-0.00338,1.1835085899670663,0.003742582774670232,"[-0.003955462238353608, 0.0107154622383537]",0.04655,0.04718,0.17008,16155,8260,0.5112968121324667,0.5803874092009685,0.41961259079903146,0.26743341404358356,0.6657384987893462,0.06682808716707021,0.10169491525423693,-1077.5,16.155,3.171999999999997
busted_total_22_to_24,100000,100000,0,100000.0,5696.5,11071.0,2735.0,119502.5,549.5,-549.5,1.004598230162549,-0.005495,-0.004598230162548901,-0.005495,1.1911282436580535,0.00376667823531546,"[-0.001887689341218306, 0.012877689341218298]",0.04672,0.04702,0.172,16141,11393,0.7058422650393408,0.5540244009479505,0.44597559905204953,0.2577898709734047,0.6747125427894322,0.06749758623716318,0.08307732818397302,-1289.0,16.141,3.8799999999999946
best_busted_total_threshold_busted_total_22_to_25,100000,100000,0,100000.0,7024.0,11053.0,2770.0,120847.0,677.5,-677.5,1.0056062624641076,-0.006775,-0.0056062624641075075,-0.006775,1.1980300297298607,0.0037885035992255974,"[-0.0006504670544821289, 0.014200467054482213]",0.04626,0.04731,0.17291,16131,14048,0.8708697538900254,0.533883826879271,0.46611617312072895,0.2553388382687927,0.6783171981776766,0.06634396355353075,0.07702164009111623,-1417.0,16.131,4.610999999999999
busted_total_22_to_26,100000,100000,0,100000.0,8014.5,11019.0,2745.0,121778.5,654.0,-654.0,1.0053704061061681,-0.00654,-0.005370406106168166,-0.00654,1.2025355251787395,0.0038027512268315774,"[-0.0009133924045898719, 0.01399339240458991]",0.0466,0.04734,0.17185,16029,16029,1.0,0.5116975481938986,0.48830245180610143,0.2467402832366336,0.6874415122590305,0.0658182045043359,0.05929877097760303,-1393.5,16.029,4.916999999999994
busted_total_22_to_27,100000,100000,0,100000.0,8014.5,11019.0,2745.0,121778.5,654.0,-654.0,1.0053704061061681,-0.00654,-0.005370406106168166,-0.00654,1.2025355251787395,0.0038027512268315774,"[-0.0009133924045898719, 0.01399339240458991]",0.0466,0.04734,0.17185,16029,16029,1.0,0.5116975481938986,0.48830245180610143,0.2467402832366336,0.6874415122590305,0.0658182045043359,0.05929877097760303,-1393.5,16.029,4.916999999999994
busted_total_22_to_28,100000,100000,0,100000.0,8014.5,11019.0,2745.0,121778.5,654.0,-654.0,1.0053704061061681,-0.00654,-0.005370406106168166,-0.00654,1.2025355251787395,0.0038027512268315774,"[-0.0009133924045898719, 0.01399339240458991]",0.0466,0.04734,0.17185,16029,16029,1.0,0.5116975481938986,0.48830245180610143,0.2467402832366336,0.6874415122590305,0.0658182045043359,0.05929877097760303,-1393.5,16.029,4.916999999999994
busted_total_22_to_29,100000,100000,0,100000.0,8014.5,11019.0,2745.0,121778.5,654.0,-654.0,1.0053704061061681,-0.00654,-0.005370406106168166,-0.00654,1.2025355251787395,0.0038027512268315774,"[-0.0009133924045898719, 0.01399339240458991]",0.0466,0.04734,0.17185,16029,16029,1.0,0.5116975481938986,0.48830245180610143,0.2467402832366336,0.6874415122590305,0.0658182045043359,0.05929877097760303,-1393.5,16.029,4.916999999999994
busted_total_22_to_30,100000,100000,0,100000.0,8014.5,11019.0,2745.0,121778.5,654.0,-654.0,1.0053704061061681,-0.00654,-0.005370406106168166,-0.00654,1.2025355251787395,0.0038027512268315774,"[-0.0009133924045898719, 0.01399339240458991]",0.0466,0.04734,0.17185,16029,16029,1.0,0.5116975481938986,0.48830245180610143,0.2467402832366336,0.6874415122590305,0.0658182045043359,0.05929877097760303,-1393.5,16.029,4.916999999999994
