samples,mean_incremental_ev,standard_error,confidence_interval_95_low,confidence_interval_95_high,recommended_decision,busted_total
2074,0.1957569913211186,0.026676129072285313,0.1434717783394394,0.2480422043027978,rescue,26
2641,0.32866338508140946,0.025001635523444494,0.27966017945545824,0.3776665907073607,rescue,25
3038,0.27468729427254657,0.022816082205364113,0.22996777315003292,0.3194068153950602,rescue,24
3648,0.34662828947368496,0.02148259371663479,0.30452240578908074,0.3887341731582892,rescue,23
4628,0.4451166810717371,0.01959076659994553,0.4067187785358438,0.48351458360763033,rescue,22
